Country,Code,Year,people
South Africa,ZAF,1990,2850
South Africa,ZAF,1991,5007
South Africa,ZAF,1992,8684
South Africa,ZAF,1993,14626
South Africa,ZAF,1994,23747
South Africa,ZAF,1995,37044
South Africa,ZAF,1996,55168
South Africa,ZAF,1997,78368
South Africa,ZAF,1998,106131
South Africa,ZAF,1999,136870
South Africa,ZAF,2000,169847
South Africa,ZAF,2001,202764
South Africa,ZAF,2002,234098
South Africa,ZAF,2003,262718
South Africa,ZAF,2004,286607
South Africa,ZAF,2005,301614
South Africa,ZAF,2006,305491
South Africa,ZAF,2007,298253
South Africa,ZAF,2008,282664
South Africa,ZAF,2009,260926
South Africa,ZAF,2010,240024
South Africa,ZAF,2011,217917
South Africa,ZAF,2012,193635
South Africa,ZAF,2013,175969
South Africa,ZAF,2014,167813
South Africa,ZAF,2015,166978
South Africa,ZAF,2016,172025
South Africa,ZAF,2017,169326
South Africa,ZAF,2018,153281
South Africa,ZAF,2019,143851
Kenya,KEN,1990,21636
Kenya,KEN,1991,31779
Kenya,KEN,1992,43936
Kenya,KEN,1993,57408
Kenya,KEN,1994,71363
Kenya,KEN,1995,84982
Kenya,KEN,1996,97499
Kenya,KEN,1997,108473
Kenya,KEN,1998,117468
Kenya,KEN,1999,124388
Kenya,KEN,2000,129471
Kenya,KEN,2001,132670
Kenya,KEN,2002,134431
Kenya,KEN,2003,134657
Kenya,KEN,2004,131263
Kenya,KEN,2005,124634
Kenya,KEN,2006,115366
Kenya,KEN,2007,104536
Kenya,KEN,2008,95338
Kenya,KEN,2009,87459
Kenya,KEN,2010,80975
Kenya,KEN,2011,75359
Kenya,KEN,2012,70882
Kenya,KEN,2013,68558
Kenya,KEN,2014,66147
Kenya,KEN,2015,61486
Kenya,KEN,2016,56460
Kenya,KEN,2017,52714
Kenya,KEN,2018,51066
Kenya,KEN,2019,51135
Tanzania,TZA,1990,35260
Tanzania,TZA,1991,46430
Tanzania,TZA,1992,58231
Tanzania,TZA,1993,70048
Tanzania,TZA,1994,81330
Tanzania,TZA,1995,91649
Tanzania,TZA,1996,100572
Tanzania,TZA,1997,108123
Tanzania,TZA,1998,114228
Tanzania,TZA,1999,118955
Tanzania,TZA,2000,122393
Tanzania,TZA,2001,124346
Tanzania,TZA,2002,125259
Tanzania,TZA,2003,125363
Tanzania,TZA,2004,124863
Tanzania,TZA,2005,123268
Tanzania,TZA,2006,117194
Tanzania,TZA,2007,104354
Tanzania,TZA,2008,93044
Tanzania,TZA,2009,87009
Tanzania,TZA,2010,80830
Tanzania,TZA,2011,75933
Tanzania,TZA,2012,66230
Tanzania,TZA,2013,53911
Tanzania,TZA,2014,45772
Tanzania,TZA,2015,40967
Tanzania,TZA,2016,38209
Tanzania,TZA,2017,34451
Tanzania,TZA,2018,29700
Tanzania,TZA,2019,27125
