Country,Code,Year,people
China,CHN,1990,2423990
China,CHN,1991,2456185
China,CHN,1992,2488556
China,CHN,1993,2519098
China,CHN,1994,2524877
China,CHN,1995,2548615
China,CHN,1996,2592143
China,CHN,1997,2623371
China,CHN,1998,2669846
China,CHN,1999,2767588
China,CHN,2000,2908756
China,CHN,2001,3012156
China,CHN,2002,3131151
China,CHN,2003,3244006
China,CHN,2004,3371112
China,CHN,2005,3424698
China,CHN,2006,3385035
China,CHN,2007,3413237
China,CHN,2008,3523450
China,CHN,2009,3669964
China,CHN,2010,3831636
China,CHN,2011,3937801
China,CHN,2012,3973790
China,CHN,2013,4049045
China,CHN,2014,4120839
China,CHN,2015,4180060
China,CHN,2016,4292981
China,CHN,2017,4378469
China,CHN,2018,4459245
China,CHN,2019,4584273
India,IND,1990,1201775
India,IND,1991,1243951
India,IND,1992,1273738
India,IND,1993,1289988
India,IND,1994,1307746
India,IND,1995,1316260
India,IND,1996,1374290
India,IND,1997,1483173
India,IND,1998,1518213
India,IND,1999,1502751
India,IND,2000,1529224
India,IND,2001,1577661
India,IND,2002,1610122
India,IND,2003,1601208
India,IND,2004,1550655
India,IND,2005,1621446
India,IND,2006,1723531
India,IND,2007,1812605
India,IND,2008,1897232
India,IND,2009,1898640
India,IND,2010,1942316
India,IND,2011,2033996
India,IND,2012,2119847
India,IND,2013,2200623
India,IND,2014,2232102
India,IND,2015,2289079
India,IND,2016,2350151
India,IND,2017,2409773
India,IND,2018,2508204
India,IND,2019,2574410
Russia,RUS,1990,890902
Russia,RUS,1991,908560
Russia,RUS,1992,969386
Russia,RUS,1993,1137879
Russia,RUS,1994,1243883
Russia,RUS,1995,1194364
Russia,RUS,1996,1141680
Russia,RUS,1997,1104033
Russia,RUS,1998,1103547
Russia,RUS,1999,1196838
Russia,RUS,2000,1247567
Russia,RUS,2001,1271444
Russia,RUS,2002,1310613
Russia,RUS,2003,1331711
Russia,RUS,2004,1296499
Russia,RUS,2005,1338945
Russia,RUS,2006,1247139
Russia,RUS,2007,1199743
Russia,RUS,2008,1204933
Russia,RUS,2009,1156917
Russia,RUS,2010,1161661
Russia,RUS,2011,1087537
Russia,RUS,2012,1062214
Russia,RUS,2013,1037827
Russia,RUS,2014,1044400
Russia,RUS,2015,1028256
Russia,RUS,2016,1016533
Russia,RUS,2017,977433
Russia,RUS,2018,986406
Russia,RUS,2019,1004931
