Country,Code,Year,people
China,CHN,1990,70089
China,CHN,1991,70488
China,CHN,1992,71969
China,CHN,1993,74000
China,CHN,1994,75643
China,CHN,1995,77685
China,CHN,1996,81040
China,CHN,1997,84291
China,CHN,1998,88550
China,CHN,1999,94000
China,CHN,2000,99174
China,CHN,2001,104537
China,CHN,2002,111371
China,CHN,2003,117231
China,CHN,2004,123931
China,CHN,2005,128162
China,CHN,2006,124587
China,CHN,2007,123442
China,CHN,2008,125045
China,CHN,2009,128147
China,CHN,2010,132114
China,CHN,2011,134980
China,CHN,2012,137073
China,CHN,2013,140303
China,CHN,2014,145136
China,CHN,2015,149030
China,CHN,2016,155700
China,CHN,2017,161250
China,CHN,2018,166694
China,CHN,2019,172892
India,IND,1990,78789
India,IND,1991,82661
India,IND,1992,85848
India,IND,1993,88235
India,IND,1994,90876
India,IND,1995,92749
India,IND,1996,99306
India,IND,1997,110562
India,IND,1998,117335
India,IND,1999,119235
India,IND,2000,125786
India,IND,2001,133798
India,IND,2002,140069
India,IND,2003,142991
India,IND,2004,141777
India,IND,2005,151722
India,IND,2006,162694
India,IND,2007,171589
India,IND,2008,179626
India,IND,2009,177064
India,IND,2010,178992
India,IND,2011,191360
India,IND,2012,207229
India,IND,2013,218827
India,IND,2014,226879
India,IND,2015,235067
India,IND,2016,242916
India,IND,2017,250293
India,IND,2018,263805
India,IND,2019,273089
United States,USA,1990,47140
United States,USA,1991,49037
United States,USA,1992,51045
United States,USA,1993,54543
United States,USA,1994,57260
United States,USA,1995,60140
United States,USA,1996,62422
United States,USA,1997,64519
United States,USA,1998,67162
United States,USA,1999,70341
United States,USA,2000,72376
United States,USA,2001,74237
United States,USA,2002,75715
United States,USA,2003,76291
United States,USA,2004,75309
United States,USA,2005,75892
United States,USA,2006,74669
United States,USA,2007,73228
United States,USA,2008,72592
United States,USA,2009,71235
United States,USA,2010,69915
United States,USA,2011,68571
United States,USA,2012,67741
United States,USA,2013,67235
United States,USA,2014,67583
United States,USA,2015,68860
United States,USA,2016,70534
United States,USA,2017,72239
United States,USA,2018,75081
United States,USA,2019,77719
