country,Code,HIV_AIDS,Cardiovascular_Diseases,Diabetes_Mellitus,sum
Afghanistan,AFG,4282,1607042,93207,5982631
Albania,ALB,57,270603,4055,523545
Algeria,DZA,6101,2123720,89035,4601205
American Samoa,ASM,15,2851,970,8619
Andorra,AND,85,3526,198,12532
Angola,AGO,244358,525047,73366,5366718
Antigua and Barbuda,ATG,258,5264,1329,14265
Argentina,ARG,48615,2836128,278201,8552888
Armenia,ARM,264,388635,34565,783174
Australia,AUS,6067,1441279,100026,3889556
Austria,AUT,2005,1031672,59349,2290891
Azerbaijan,AZE,1152,1026714,44141,2028238
Bahamas,BHS,4845,18249,3203,56965
Bahrain,BHR,276,25731,9552,75941
Bangladesh,BGD,4434,6123691,597943,24803502
Barbados,BRB,1189,23478,7606,69613
Belarus,BLR,7361,2310287,17117,3856108
Belgium,BEL,2996,1037826,52810,3006741
Belize,BLZ,1842,9582,2757,38672
Benin,BEN,80892,246509,29925,2170343
Bermuda,BMU,313,5384,615,13810
Bhutan,BTN,615,25967,2597,119148
Bolivia,BOL,18229,336227,69124,1832360
Bosnia and Herzegovina,BIH,91,500781,45187,1016460
Botswana,BWA,263306,81565,20696,652059
Brazil,BRA,447733,9589019,1315755,32674112
Brunei,BRN,99,10987,3592,36804
Bulgaria,BGR,1830,2423467,74257,3714519
Burkina Faso,BFA,333448,441449,58916,4869268
Burundi,BDI,312891,262614,34307,2807113
Cambodia,KHM,104487,610359,68902,3177198
Cameroon,CMR,743352,546358,97869,5155974
Canada,CAN,17171,2213352,195320,6534938
Cape Verde,CPV,2985,21424,2177,81419
Central African Republic,CAF,279310,166728,23653,1875279
Chad,TCD,137491,307518,35722,3554423
Chile,CHL,12667,722163,76500,2591836
China,CHN,433709,100505973,3468554,265408106
Colombia,COL,62413,1626208,161139,5849272
Comoros,COM,19,25908,3494,148274
Congo,COG,191273,157498,24062,1060983
Cook Islands,COK,16,1392,617,3999
Costa Rica,CRI,4522,141587,11021,485855
Cote d'Ivoire,CIV,1063120,508223,74322,5732265
Croatia,HRV,302,750842,30633,1519071
Cuba,CUB,5894,1003002,54973,2422450
Cyprus,CYP,83,83156,14523,198852
Czechia,CZE,356,1652941,59397,3253307
Democratic Republic of Congo,COD,1006324,1989495,244784,17446538
Denmark,DNK,1493,579329,37380,1619397
Djibouti,DJI,20009,20843,3181,178312
Dominica,DMA,191,7296,1714,20350
Dominican Republic,DOM,69145,502583,53725,1550151
Ecuador,ECU,20616,443431,92543,2059371
Egypt,EGY,2784,5995471,370494,14878359
El Salvador,SLV,16995,222986,41716,1021357
Equatorial Guinea,GNQ,31440,21631,3884,198005
Eritrea,ERI,71881,134500,20247,1273196
Estonia,EST,696,280754,4273,511674
Eswatini,SWZ,154247,37935,14892,387046
Ethiopia,ETH,1788429,1936154,322888,20880668
Fiji,FJI,300,62710,35664,171689
Finland,FIN,354,695601,14615,1453213
France,FRA,50258,4729313,324244,15093782
Gabon,GAB,43020,64442,13940,343584
Gambia,GMB,22925,48140,5805,336487
Georgia,GEO,377,1018279,31656,1611980
Germany,DEU,28389,10819770,621575,25559667
Ghana,GHA,493463,794129,117346,5448868
Greece,GRC,1009,1453438,34135,3124015
Greenland,GRL,85,3419,159,12804
Grenada,GRD,206,7700,1856,21108
Guam,GUM,154,9418,979,23062
Guatemala,GTM,17114,304449,104308,2337809
Guinea,GIN,98415,363385,47968,3138945
Guinea-Bissau,GNB,29623,52785,7327,436105
Guyana,GUY,6691,63771,13640,183493
Haiti,HTI,300695,601707,97074,2791937
Honduras,HND,3735,270940,18770,1133218
Hungary,HUN,3572,1938728,66143,4025329
Iceland,ISL,48,21405,607,53199
India,IND,2454374,52994710,4781169,238158165
Indonesia,IDN,74981,13587011,1888549,44046941
Iran,IRN,12695,3867575,213971,9278362
Iraq,IRQ,1451,1655522,173840,4248735
Ireland,IRL,510,334089,13527,861097
Israel,ISR,1186,353386,63661,1087929
Italy,ITA,47691,6614384,568245,16779302
Jamaica,JAM,13671,151968,53947,457508
Japan,JPN,5140,9210437,251165,31922807
Jordan,JOR,400,201236,35911,535858
Kazakhstan,KAZ,7614,2232449,49499,4526448
Kenya,KEN,2583539,798827,116148,8605263
Kiribati,KIR,48,8385,2987,29939
Kuwait,KWT,77,72602,7012,173735
Kyrgyzstan,KGZ,3767,517868,8541,1118630
Laos,LAO,6315,309868,34098,1414509
Latvia,LVA,3033,544361,9100,929223
Lebanon,LBN,1906,362107,18508,744775
Lesotho,LSO,322742,105072,26695,924731
Liberia,LBR,49585,105814,13945,968040
Libya,LBY,1352,238179,14673,629916
Lithuania,LTU,1784,657865,7278,1217385
Luxembourg,LUX,131,41754,1831,109716
Madagascar,MDG,34991,773591,59912,4485733
Malawi,MWI,1265348,371555,58163,4681530
Malaysia,MYS,49843,1194056,90231,3387621
Maldives,MDV,12,11463,993,32937
Mali,MLI,137382,423975,55390,4932833
Malta,MLT,74,39696,3133,89154
Marshall Islands,MHL,56,3454,696,10186
Mauritania,MRT,1142,95870,13766,610294
Mauritius,MUS,1273,94929,30978,252727
Mexico,MEX,147499,3244515,1328966,15720801
Micronesia,FSM,454,8366,2292,24537
Moldova,MDA,4999,746997,10389,1412599
Monaco,MCO,28,5363,108,14591
Mongolia,MNG,180,231046,2817,643715
Montenegro,MNE,59,101092,3750,173610
Morocco,MAR,17552,2551096,112749,5574036
Mozambique,MOZ,1541266,666919,93783,7045726
Myanmar,MMR,268570,3522423,520531,13486764
Namibia,NAM,156336,94038,18854,569907
Nauru,NRU,6,772,161,2249
Nepal,NPL,34487,913752,54405,5159447
Netherlands,NLD,5168,1334457,103768,3929990
New Zealand,NZL,671,328560,17532,819244
Nicaragua,NIC,6618,168887,34246,670896
Niger,NER,69439,329937,37512,4891553
Nigeria,NGA,2216718,4176488,541020,43670014
Niue,NIU,0,263,80,591
North Korea,PRK,9620,2241454,95880,7029044
North Macedonia,MKD,56,360839,23392,611955
Northern Mariana Islands,MNP,23,2340,524,7827
Norway,NOR,773,490252,19988,1205649
Oman,OMN,1388,132123,14973,304947
Pakistan,PAK,36968,7745192,845343,38151878
Palau,PLW,18,1519,453,4814
Palestine,PSE,223,148182,20982,411257
Panama,PAN,13521,118409,21135,418150
Papua New Guinea,PNG,64513,293524,83158,1349157
Paraguay,PRY,10234,213030,42714,701474
Peru,PER,56394,681021,89295,3803706
Philippines,PHL,110923,3724705,518565,13680040
Poland,POL,3314,5233134,188412,11173480
Portugal,PRT,23564,1168117,116415,3090408
Puerto Rico,PRI,20337,245108,82187,854186
Qatar,QAT,101,19305,5367,67331
Romania,ROU,7929,4474916,63448,7883515
Russia,RUS,350679,33903781,369649,59591155
Rwanda,RWA,226568,278336,41385,3070775
Saint Kitts and Nevis,KNA,458,4545,750,12181
Saint Lucia,LCA,254,9576,2787,29352
Saint Vincent and the Grenadines,VCT,696,8390,2447,23445
Samoa,WSM,183,13383,2902,34510
San Marino,SMR,25,2309,111,6761
Sao Tome and Principe,STP,12,6589,332,29986
Saudi Arabia,SAU,11106,982797,65129,2626923
Senegal,SEN,66251,344242,50220,2489411
Serbia,SRB,1762,1871623,96475,3366448
Seychelles,SYC,123,6339,502,19081
Sierra Leone,SLE,63856,204497,22070,1967352
Singapore,SGP,1241,166594,9045,488771
Slovakia,SVK,127,818968,23085,1576884
Slovenia,SVN,110,220690,12043,555608
Solomon Islands,SLB,561,48085,7852,139389
Somalia,SOM,83076,366002,51124,4042753
South Africa,ZAF,4874296,2234693,609364,15807129
South Korea,KOR,2780,2078568,320632,7540359
South Sudan,SSD,120952,185687,27540,2293162
Spain,ESP,60056,3726864,295332,10888774
Sri Lanka,LKA,1926,1149527,232901,3479255
Sudan,SDN,91233,1887465,52868,5986750
Suriname,SUR,3319,30883,4743,93959
Sweden,SWE,1379,1213946,54982,2645896
Switzerland,CHE,2901,722512,45284,1805382
Syria,SYR,541,1056981,41936,2322242
Taiwan,TWN,3399,981658,266537,4105623
Tajikistan,TJK,2325,535923,25178,1335833
Tanzania,TZA,2465047,1155416,168174,11195695
Thailand,THA,618532,2572195,386466,11358484
Timor,TLS,6703,39655,3289,198600
Togo,TGO,179708,163134,18997,1457783
Tokelau,TKL,0,140,30,299
Tonga,TON,39,4613,1952,17580
Trinidad and Tobago,TTO,8442,103599,40399,282433
Tunisia,TUN,2289,769978,32349,1525867
Turkey,TUR,2970,4167835,484386,10748951
Turkmenistan,TKM,3950,438094,14135,919328
Tuvalu,TUV,7,1120,264,2962
Uganda,UGA,2102167,632868,106337,8575533
Ukraine,UKR,177144,13053052,95725,21245451
United Arab Emirates,ARE,1866,113217,16413,372629
United Kingdom,GBR,11315,6603062,194851,17281600
United States,USA,528417,26438346,2030631,71197802
United States Virgin Islands,VIR,333,10542,1674,27512
Uruguay,URY,4365,316537,22890,905972
Uzbekistan,UZB,12309,2749832,137009,5581614
Vanuatu,VUT,248,16362,2032,46023
Venezuela,VEN,46090,1158991,175790,3697746
Vietnam,VNM,148838,5323920,544222,14444650
Yemen,YEM,6276,1110837,30812,4088624
Zambia,ZMB,1175563,360770,54098,4110709
Zimbabwe,ZWE,1836042,408352,71175,4418584
